pid,utime,stime,priority,mem_usage,process_type
845,10.277450752,4.157110784,0,14073856,True
846,20.300711936,17.197156352,0,5865472,True
849,43.04812032,19.274133504,0,26951680,True
851,17.02066688,7.080192,0,16990208,True
852,2.894493184,1.76849024,0,15728640,True
853,17.709277184,5.02880768,0,21331968,True
855,0.097118336,0.109943168,0,2801664,False
857,0.010171125,0.012158833,0,1310720,False
858,9.266485248,2.411659264,0,19841024,True
859,0.039885248,0.03402754,0,2490368,True
860,32.110589952,6.79360768,0,9781248,True
861,0.008228708,0.010080333,0,0,False
862,13.814140928,4.205593088,0,11075584,True
863,0.755299968,0.319468736,0,5816320,True
864,0.788203968,0.183867664,0,5734400,True
865,30.177308672,27.590619136,0,10797056,True
866,0.0,0.0,0,0,False
867,13.951550464,5.161982976,0,13008896,True
868,0.829725376,0.44157136,0,4538368,True
870,147.687292928,21.002323968,0,29179904,True
871,27.564439552,18.220044288,0,20922368,True
872,14.37249024,3.242841856,0,14483456,True
873,14.967749632,50.248216576,0,15204352,False
874,2.032305536,0.8535088,0,10158080,True
877,0.018601166,0.022856832,0,278528,False
878,4.255845376,2.904298752,0,10485760,True
879,1.024013184,0.714229376,0,8617984,True
880,0.0,0.0,0,0,False
881,4.097461504,2.145803904,0,7766016,True
882,98.248769536,26.459203584,0,39370752,True
883,0.988444672,0.918412928,0,9568256,True
884,0.374012928,0.39140576,0,7536640,False
886,0.355006304,0.280526624,0,5160960,True
888,0.680949952,0.439559968,0,3227648,True
889,6.865899008,5.987555328,0,10747904,True
890,31.806619648,5.107669504,0,18677760,True
891,3.07209088,1.6408608,0,15482880,True
892,45.898502144,11.446567936,0,13631488,True
893,0.410488256,0.3389792,0,6160384,True
894,17.344458752,10.592279552,0,15581184,True
895,35.788599296,18.276358144,0,12271616,True
896,8.407401984,4.9841024,0,9388032,True
897,18.998704128,10.479863808,0,18333696,True
900,0.0,0.0,0,0,False
901,1.68593792,2.542232064,0,1916928,False
902,167.379206144,44.663443456,0,56098816,True
903,0.0,0.0,0,0,False
905,0.0,0.0,0,0,False
906,0.0,0.0,0,0,False
908,0.0,0.0,0,0,False
909,0.0,0.0,0,0,False
910,0.479762112,0.536683904,0,6914048,False
911,7.233734144,3.479526656,0,15597568,True
912,1.680180224,0.680439552,0,6324224,True
915,0.418638112,0.216669088,0,6193152,True
918,0.117903376,0.114384664,0,4456448,True
919,1.66395328,0.594672512,0,3850240,True
921,0.060917416,0.074709872,0,1736704,False
922,0.0,0.0,0,0,False
923,0.0,0.0,0,0,False
924,0.465160448,0.519708,0,3325952,False
925,0.573780096,0.448778304,0,9453568,True
926,0.0,0.0,0,0,False
927,0.044541376,0.094687664,0,1294336,False
928,7.56322304,2.723238656,0,13778944,True
931,0.205595376,0.115648664,0,3735552,True
932,1.05706144,0.853121472,0,3735552,True
933,0.0,0.0,0,0,False
934,3.079417856,1.1232384,0,5554176,True
935,3620.935041024,390.357680128,0,70483968,True
936,39.876427776,6.994797568,0,39698432,True
937,213.128118272,52.035080192,0,36716544,True
938,0.0,0.0,0,0,False
939,3.893726464,4.307383296,0,2736128,False
940,1.703859584,0.519495136,0,4374528,True
941,3.454348544,2.070777984,0,6537216,True
942,0.636085504,0.803894528,0,5849088,False
943,0.0,0.0,0,0,False
944,13.29605632,4.683086336,0,11567104,True
945,77.623599104,24.37881856,0,65781760,True
946,0.063043292,0.029116876,0,0,True
947,0.0,0.0,0,0,False
948,1044.839923712,309.40430336,0,45498368,True
951,0.016710166,0.028379124,0,589824,False
952,0.0,0.0,0,0,False
956,0.014556208,0.009360833,0,0,True
959,1.558877952,0.540258304,0,8470528,True
960,0.240916464,0.26877408,0,8208384,False
961,13.62641408,3.043874304,0,3604480,True
962,0.502323424,0.521190496,0,3440640,False
963,10.403401728,7.353181184,17,12910592,True
964,0.0,0.0,0,0,False
965,32.321959936,11.170266112,0,16285696,True
966,0.0,0.0,0,0,False
967,0.0,0.0,0,0,False
968,1.359697408,0.986418176,0,10878976,True
969,0.0,0.0,0,0,False
970,10.115074048,5.565349888,0,21479424,True
971,1.787728,0.758870336,0,4931584,True
972,0.0,0.0,0,0,False
973,0.0,0.0,0,0,False
974,0.742965696,0.657376064,0,5013504,True
975,0.0,0.0,0,0,False
976,0.0,0.0,0,0,False
981,0.0,0.0,0,0,False
983,0.215785536,0.201151328,0,4669440,True
989,0.0,0.0,0,0,False
1047,0.0,0.0,0,0,False
1049,0.3962312,0.187514288,0,4620288,True
1058,27.072212992,16.119712768,0,9224192,True
1059,0.799565056,0.69918528,0,6750208,True
1060,364.44422144,164.703977472,0,22102016,True
1061,2.506523136,1.35331008,0,17645568,True
1062,0.0,0.0,0,0,False
1063,0.656333952,0.725211968,0,8994816,False
1065,0.026370166,0.046171332,0,1327104,False
1066,1.524938624,0.634467072,0,7061504,True
1067,50.855194624,23.257464832,0,8388608,True
1068,10.914473984,3.405219072,0,16252928,True
1069,0.701242176,0.461844096,0,1654784,True
1071,0.0,0.0,0,0,False
1072,0.023291958,0.023471,0,2015232,False
1073,0.075966792,0.068787208,0,1671168,True
1074,6.370893312,3.357772288,0,27213824,True
1075,0.0,0.0,0,0,False
1078,0.0,0.0,0,0,False
1080,75.023245312,12.857321472,0,22462464,True
1081,0.189143424,1.639008128,0,163840,False
1082,0.0,0.0,0,0,False
1083,1.837142784,0.159198368,0,245760,True
1084,3.033216,3.03162624,0,10354688,True
1086,0.0,0.0,0,0,False
1087,14.809432064,7.307613184,0,14811136,True
1088,1.69750912,0.563351488,0,6750208,True
1090,27.688865792,6.766454272,0,38027264,True
1091,0.500830528,0.2924768,0,7979008,True
1092,3.024262144,3.122750976,0,10108928,False
1093,227.946774528,125.163208704,0,22495232,True
1094,15.544715264,3.945178112,0,16580608,True
1095,4.404306944,2.599960576,0,11943936,True
1098,0.0,0.0,0,0,False
1102,0.0,0.0,0,0,False
1103,0.0,0.0,0,0,False
1105,0.0,0.0,0,0,False
1106,0.0,0.0,0,0,False
1108,0.166466672,0.154583872,0,3620864,True
1110,0.672139904,0.568012224,0,6815744,True
1111,0.855848512,2.919373568,0,2506752,False
1112,1.857642112,5.243004416,0,3522560,False
1113,8.209447424,8.308519424,0,7110656,False
1114,64.862253056,29.172404224,0,28393472,True
1115,0.221654256,0.118274336,0,1785856,True
1116,1.990503552,1.219768576,0,8683520,True
1117,0.179276288,0.208990784,0,5701632,False
