Time,Steps,PROCESS_CPU,PROCESS_IO,Total Reward,Avg Reward,CPU Queue,IO Queue,State,Action
23:25:30,109,82,27,1525,13.990825688073397,379,43,"(379, 43)",PROCESS_CPU
23:25:35,110,83,27,1545,14.045454545454543,377,43,"(377, 43)",PROCESS_CPU
23:25:40,112,84,28,1585,14.151785714285714,376,42,"(376, 42)",PROCESS_CPU
23:25:45,114,86,28,1630,14.298245614035087,374,43,"(374, 43)",PROCESS_CPU
23:25:50,116,87,29,1670,14.39655172413793,373,42,"(373, 42)",PROCESS_CPU
23:25:55,118,89,29,1715,14.533898305084746,370,37,"(370, 37)",PROCESS_CPU
23:26:00,120,90,30,1755,14.625,368,36,"(368, 36)",PROCESS_CPU
23:26:05,121,91,30,1780,14.710743801652892,368,37,"(368, 37)",PROCESS_CPU
23:26:10,123,93,30,1820,14.796747967479677,366,36,"(366, 36)",PROCESS_CPU
23:26:15,125,94,31,1865,14.92,365,36,"(365, 36)",PROCESS_CPU
23:26:20,127,96,31,1905,15.0,363,36,"(363, 36)",PROCESS_CPU
23:26:25,129,97,32,1950,15.116279069767442,363,35,"(363, 35)",PROCESS_CPU
23:26:30,130,98,32,1970,15.153846153846152,364,35,"(364, 35)",PROCESS_CPU
23:26:35,132,99,33,2010,15.227272727272728,363,34,"(363, 34)",PROCESS_CPU
23:26:40,134,101,33,2055,15.335820895522389,361,34,"(361, 34)",PROCESS_CPU
23:26:45,136,102,34,2095,15.404411764705882,360,33,"(360, 33)",PROCESS_CPU
23:26:50,138,104,34,2140,15.507246376811594,359,33,"(359, 33)",PROCESS_CPU
23:26:55,140,105,35,2180,15.571428571428571,358,32,"(358, 32)",PROCESS_CPU
23:27:00,141,106,35,2205,15.638297872340424,356,32,"(356, 32)",PROCESS_CPU
23:27:05,143,108,35,2245,15.6993006993007,355,31,"(355, 31)",PROCESS_CPU
23:27:10,145,109,36,2290,15.79310344827586,353,31,"(353, 31)",PROCESS_CPU
23:27:15,147,111,36,2330,15.850340136054422,352,31,"(352, 31)",PROCESS_CPU
23:27:20,149,112,37,2375,15.939597315436242,351,30,"(351, 30)",PROCESS_CPU
23:27:25,150,113,37,2395,15.966666666666669,349,30,"(349, 30)",PROCESS_CPU
23:27:30,152,114,38,2435,16.019736842105264,348,29,"(348, 29)",PROCESS_CPU
23:27:35,154,116,38,2480,16.103896103896105,346,29,"(346, 29)",PROCESS_CPU
23:27:40,156,117,39,2520,16.153846153846153,345,28,"(345, 28)",PROCESS_CPU
23:27:45,158,119,39,2565,16.234177215189874,344,28,"(344, 28)",PROCESS_CPU
23:27:50,160,120,40,2605,16.28125,343,27,"(343, 27)",PROCESS_CPU
23:27:55,161,121,40,2630,16.335403726708076,341,27,"(341, 27)",PROCESS_CPU
23:28:00,163,123,40,2670,16.380368098159508,341,26,"(341, 26)",PROCESS_CPU
23:28:05,165,124,41,2715,16.454545454545453,340,26,"(340, 26)",PROCESS_CPU
23:28:10,167,126,41,2755,16.49700598802395,338,26,"(338, 26)",PROCESS_CPU
23:28:15,168,126,42,2775,16.517857142857142,338,25,"(338, 25)",PROCESS_CPU
23:28:20,170,128,42,2820,16.58823529411765,335,25,"(335, 25)",PROCESS_CPU
23:28:25,172,129,43,2860,16.627906976744185,338,24,"(338, 24)",PROCESS_CPU
23:28:30,174,131,43,2905,16.695402298850574,341,25,"(341, 25)",PROCESS_CPU
23:28:35,176,132,44,2945,16.732954545454547,341,24,"(341, 24)",PROCESS_CPU
23:28:40,177,133,44,2970,16.779661016949152,338,24,"(338, 24)",PROCESS_CPU
23:28:45,179,135,44,3010,16.81564245810056,338,23,"(338, 23)",PROCESS_CPU
23:28:50,181,136,45,3055,16.87845303867403,335,23,"(335, 23)",PROCESS_CPU
23:28:55,183,138,45,3095,16.91256830601093,335,23,"(335, 23)",PROCESS_CPU
23:29:00,185,139,46,3130,16.91891891891892,333,22,"(333, 22)",PROCESS_CPU
23:29:05,186,140,46,3150,16.93548387096774,332,22,"(332, 22)",PROCESS_CPU
23:29:10,188,141,47,3190,16.96808510638298,330,22,"(330, 22)",PROCESS_CPU
23:29:15,190,143,47,3235,17.026315789473685,329,22,"(329, 22)",PROCESS_CPU
23:29:20,192,144,48,3280,17.083333333333332,327,21,"(327, 21)",PROCESS_CPU
23:29:25,194,146,48,3330,17.164948453608247,327,21,"(327, 21)",PROCESS_CPU
23:29:30,196,147,49,3370,17.193877551020407,325,20,"(325, 20)",PROCESS_CPU
23:29:35,197,148,49,3385,17.18274111675127,334,20,"(334, 20)",PROCESS_CPU
23:29:40,199,150,49,3430,17.236180904522612,343,19,"(343, 19)",PROCESS_CPU
23:29:45,201,151,50,3465,17.238805970149254,341,19,"(341, 19)",PROCESS_CPU
23:29:50,203,153,50,3515,17.31527093596059,340,19,"(340, 19)",PROCESS_CPU
23:29:55,205,154,51,3555,17.341463414634145,339,18,"(339, 18)",PROCESS_CPU
23:30:00,206,155,51,3580,17.37864077669903,337,18,"(337, 18)",PROCESS_CPU
23:30:05,208,156,52,3630,17.451923076923077,336,17,"(336, 17)",PROCESS_CPU
23:30:10,210,158,52,3670,17.476190476190474,328,17,"(328, 17)",PROCESS_CPU
23:30:15,212,159,53,3720,17.547169811320753,327,16,"(327, 16)",PROCESS_CPU
23:30:20,214,161,53,3760,17.570093457943926,326,17,"(326, 17)",PROCESS_CPU
23:30:25,216,162,54,3810,17.63888888888889,324,16,"(324, 16)",PROCESS_CPU
23:30:30,217,163,54,3825,17.62672811059908,322,16,"(322, 16)",PROCESS_CPU
23:30:35,219,165,54,3875,17.69406392694064,321,15,"(321, 15)",PROCESS_CPU
23:30:40,221,166,55,3915,17.714932126696834,319,15,"(319, 15)",PROCESS_CPU
23:30:45,223,168,55,3965,17.780269058295964,316,15,"(316, 15)",PROCESS_CPU
23:30:50,225,169,56,4005,17.8,314,14,"(314, 14)",PROCESS_CPU
23:30:55,226,170,56,4030,17.831858407079647,312,14,"(312, 14)",PROCESS_CPU
23:31:00,228,171,57,4080,17.894736842105264,311,13,"(311, 13)",PROCESS_CPU
23:31:05,230,173,57,4120,17.91304347826087,311,13,"(311, 13)",PROCESS_CPU
23:31:10,232,174,58,4170,17.974137931034484,309,12,"(309, 12)",PROCESS_CPU
23:31:15,234,176,58,4210,17.99145299145299,310,12,"(310, 12)",PROCESS_CPU
23:31:20,236,177,59,4260,18.05084745762712,308,11,"(308, 11)",PROCESS_CPU
23:31:25,237,178,59,4275,18.037974683544306,309,11,"(309, 11)",PROCESS_CPU
23:31:30,239,180,59,4325,18.09623430962343,308,10,"(308, 10)",PROCESS_CPU
23:31:35,241,181,60,4365,18.112033195020743,307,10,"(307, 10)",PROCESS_CPU
23:31:40,243,183,60,4415,18.16872427983539,305,10,"(305, 10)",PROCESS_CPU
23:31:45,245,184,61,4455,18.183673469387756,306,9,"(306, 9)",PROCESS_CPU
23:31:50,246,185,61,4480,18.211382113821134,303,9,"(303, 9)",PROCESS_CPU
23:31:55,248,186,62,4530,18.266129032258064,303,8,"(303, 8)",PROCESS_CPU
23:32:00,250,188,62,4570,18.28,302,8,"(302, 8)",PROCESS_CPU
23:32:05,252,189,63,4620,18.333333333333332,302,7,"(302, 7)",PROCESS_CPU
23:32:10,254,191,63,4660,18.346456692913385,299,8,"(299, 8)",PROCESS_CPU
23:32:15,256,192,64,4710,18.3984375,299,7,"(299, 7)",PROCESS_CPU
23:32:20,257,193,64,4725,18.3852140077821,296,7,"(296, 7)",PROCESS_CPU
23:32:25,259,195,64,4775,18.436293436293436,296,6,"(296, 6)",PROCESS_CPU
23:32:30,261,196,65,4815,18.448275862068964,292,6,"(292, 6)",PROCESS_CPU
23:32:35,263,198,65,4865,18.49809885931559,292,6,"(292, 6)",PROCESS_CPU
23:32:40,265,199,66,4905,18.50943396226415,291,5,"(291, 5)",PROCESS_CPU
23:32:45,266,200,66,4930,18.533834586466167,289,5,"(289, 5)",PROCESS_CPU
23:32:50,268,201,67,4980,18.58208955223881,288,3,"(288, 3)",PROCESS_CPU
23:32:55,270,203,67,5020,18.59259259259259,284,1,"(284, 1)",PROCESS_CPU
23:33:00,272,204,68,5070,18.639705882352946,282,0,"(282, 0)",PROCESS_CPU
23:33:05,274,206,68,5110,18.64963503649635,282,0,"(282, 0)",PROCESS_CPU
23:33:10,276,207,69,5160,18.695652173913043,281,0,"(281, 0)",PROCESS_CPU
23:33:15,277,208,69,5175,18.68231046931408,280,0,"(280, 0)",PROCESS_CPU
23:33:20,279,210,69,5225,18.727598566308245,278,0,"(278, 0)",PROCESS_CPU
23:33:25,280,211,69,5250,18.75,285,0,"(285, 0)",PROCESS_CPU
23:33:30,282,213,69,5300,18.79432624113475,283,0,"(283, 0)",PROCESS_CPU
23:33:35,283,214,69,5325,18.81625441696113,282,0,"(282, 0)",PROCESS_CPU
23:33:40,285,216,69,5375,18.859649122807017,280,0,"(280, 0)",PROCESS_CPU
23:33:45,286,217,69,5400,18.88111888111888,278,0,"(278, 0)",PROCESS_CPU
23:33:50,288,219,69,5450,18.92361111111111,276,0,"(276, 0)",PROCESS_CPU
23:33:55,289,220,69,5475,18.94463667820069,275,0,"(275, 0)",PROCESS_CPU
