pid,utime,stime,priority,mem_usage
55793,0.719521984,0.378744384,0,14893056
57132,0.401160384,0.203787376,0,10551296
58743,2459.793096704,234.282254336,0,117473280
58869,188.959981568,9.733249024,0,88489984
58870,3.061037824,1.156719616,0,66289664
58871,2.16101376,0.827792512,0,65110016
58882,7.245324288,1.986977024,0,92504064
58884,21.24315648,3.508972032,0,99483648
58885,6.504951296,1.582141952,0,74268672
58886,4.246471936,0.978048064,0,76742656
59020,25.628377088,4.955802624,0,106430464
59030,3.02814208,1.291573888,0,68386816
59036,2.459113728,0.925727232,0,65896448
59037,2.32864256,0.883574976,0,64815104
59089,15.968309248,2.732493312,0,96550912
59119,14.004962304,2.733181184,0,97845248
59217,37.393362944,4.963902464,0,89030656
59286,5.942859264,1.250252672,0,97140736
59293,51.830063104,6.197646336,0,100679680
59320,4.490769408,1.292576512,0,85065728
59326,4.380647424,0.96292896,0,100499456
59330,1.621972736,0.709301632,0,65290240
59488,3.48986752,0.847343808,0,85147648
59513,0.0,0.0,0,0
59673,7.254201344,1.161243648,0,90144768
59758,0.0,0.0,20,0
59763,405.378400256,52.905095168,0,144228352
59930,2.701288704,0.580455552,0,90963968
60034,3.93851008,0.775427776,0,96534528
60194,15.2291584,1.872441856,0,49004544
60204,0.56757952,0.21282704,0,25362432
60205,1.681181184,0.318700544,0,27361280
60226,0.131727544,0.07367192,0,11550720
60228,1.176286976,0.148354752,0,21102592
60229,2.406413824,3.281019136,0,21413888
60230,2.179635712,0.331555072,0,23461888
60231,0.262716,0.09676196,0,20135936
60238,2.516820992,0.642972224,0,85147648
60341,0.368546368,0.193316544,0,16596992
60365,4.403508736,0.705695552,0,99614720
60368,0.398019072,0.13431912,0,66109440
60370,0.426331072,0.138544752,0,70189056
60378,23.129055232,3.12488576,0,109985792
60380,6.010135552,0.765976512,0,92602368
60388,0.441662752,0.148111792,0,67321856
60458,1.045692224,0.185859168,0,6963200
60459,0.0,0.0,0,0
60460,0.0,0.0,0,0
60481,1.545881472,0.710602432,0,60817408
60482,0.0,0.0,0,0
60483,0.006036458,0.014301708,0,409600
60502,3.8446784,0.991639552,0,44826624
60507,18.136580096,6.700392448,0,170704896
60509,0.004032458,0.008012125,0,1785856
60513,7.671610368,4.341894144,0,83640320
60514,1.23397248,0.92916992,0,54247424
60516,0.094760248,0.047876084,0,26083328
60536,17.101473792,3.231659264,0,224329728
60542,0.040007876,0.031122166,0,6930432
60544,0.35056208,0.12423592,0,7471104
60551,0.016911958,0.021864084,0,4456448
60552,0.354865248,0.138266704,0,7471104
60558,0.0,0.0,0,0
60564,2.542031616,2.360652288,0,174948352
60579,0.058733752,0.061397752,0,6389760
60580,0.076537288,0.097481584,0,245760
60582,1.346608128,0.256036416,0,10076160
60584,0.33175616,0.179594576,0,19333120
60586,0.0,0.0,0,0
60587,0.0,0.0,0,0
60593,0.296348384,0.119434752,0,7028736
60594,0.182921872,0.179144256,0,10993664
60595,0.0,0.0,0,0
60596,0.0,0.0,0,0
60598,0.0,0.0,0,0
60600,0.26506808,0.0382595,0,4866048
60601,0.0,0.0,0,0
60603,0.033633248,0.056785,0,8912896
60604,0.0,0.0,0,0
60605,0.099514872,0.087896544,0,8568832
60606,0.017241832,0.013296833,0,4014080
60607,0.0,0.0,0,0
60608,0.072146912,0.03953304,0,6766592
60609,0.010609583,0.008608416,0,5488640
60610,0.0,0.0,0,0
60611,0.534985504,0.398977088,0,7618560
60612,0.070340704,0.047948124,0,5521408
60616,0.040918876,0.018877584,0,5390336
60618,0.0,0.0,0,0
60619,0.037205584,0.008968125,0,3768320
60620,0.0,0.0,0,0
60621,0.048981664,0.009676333,0,3620864
60622,0.0,0.0,0,0
60623,0.073552496,0.0223495,0,5013504
60626,0.079583288,0.144014624,0,11091968
60628,0.044065792,0.014351083,0,3817472
60629,0.0,0.0,0,0
60630,0.05198954,0.0146305,0,3588096
60631,0.0,0.0,0,0
60632,0.066835792,0.017745584,0,3604480
60633,0.0,0.0,0,0
60634,0.087676288,0.02510904,0,5373952
60635,0.0,0.0,0,0
60636,0.0,0.0,0,0
60637,0.0,0.0,0,0
60638,0.051503792,0.010362583,0,3719168
60639,0.056854456,0.021414084,0,5619712
60644,0.131098664,0.109554664,0,5963776
60645,0.560600064,0.211091424,0,6160384
60646,0.017038292,0.017231416,0,3129344
60648,0.08127108,0.051733792,0,6324224
60649,0.0,0.0,0,0
60653,0.023776958,0.013436125,0,2342912
60656,0.0,0.0,0,0
60657,0.0,0.0,0,0
60658,0.0,0.0,0,0
60660,0.011710708,0.014015958,0,2260992
60661,0.0,0.0,0,0
60662,0.0,0.0,0,0
60663,0.073407664,0.029349584,0,3883008
60665,0.0,0.0,0,0
60666,0.0,0.0,0,0
60667,1.077724288,2.76696832,0,10338304
60668,0.0,0.0,0,0
60669,0.512667712,0.372403744,0,29360128
60670,0.733624704,0.91811392,0,9125888
60672,0.0,0.0,0,0
60673,0.0,0.0,0,0
60674,0.0,0.0,0,0
60676,0.0,0.0,0,0
60677,0.0,0.0,0,0
60678,0.054301416,0.032075208,0,8454144
60679,0.0,0.0,0,0
60682,0.011672833,0.01572775,0,1802240
60683,0.063146708,0.045210292,0,6438912
60684,0.0,0.0,0,0
60687,0.061856456,0.029296332,0,5177344
60693,0.12305196,0.062485376,0,6602752
60695,0.0,0.0,0,0
60698,0.092244544,0.088927288,0,9617408
60699,0.0,0.0,0,0
60700,0.0,0.0,0,0
60701,0.0,0.0,0,0
60702,0.0,0.0,0,0
60703,0.0,0.0,0,0
60704,0.0,0.0,0,0
60705,0.0,0.0,0,0
60706,0.0,0.0,0,0
60707,0.0,0.0,0,0
60708,0.0,0.0,0,0
60709,0.0,0.0,0,0
60710,0.0,0.0,0,0
60711,0.0,0.0,0,0
60712,0.0,0.0,0,0
60713,0.0,0.0,0,0
60723,0.0,0.0,0,0
60727,0.146260704,0.226262,0,4489216
60728,0.0135725,0.018501166,0,2015232
60729,0.088110456,0.150685712,0,7651328
60730,0.0,0.0,0,0
60734,0.0,0.0,0,0
60735,0.010739958,0.013457458,0,2490368
60743,0.0,0.0,0,0
60744,0.0,0.0,0,0
60748,0.053756124,0.026937084,0,4440064
60766,0.0,0.0,0,0
60774,0.051139168,0.035133332,0,4341760
60780,0.041884376,0.034651876,0,7454720
60782,2.609421056,0.984875776,0,12222464
60786,0.350560128,0.479128992,0,6455296
60787,0.071154832,0.070888664,0,3342336
60789,0.0,0.0,0,0
60790,0.0,0.0,0,0
60791,0.0,0.0,0,0
60792,0.0,0.0,0,0
60802,1.962157952,0.581963584,0,32145408
60803,0.066216752,0.039567416,0,8781824
60804,0.039328084,0.026921832,0,4587520
60805,0.0300455,0.030945584,0,7438336
60821,0.0,0.0,0,0
60822,0.0,0.0,0,0
60823,0.0,0.0,0,0
60824,0.05665704,0.071879208,0,7929856
60825,0.0,0.0,0,0
60830,0.0,0.0,0,0
60845,0.0,0.0,0,0
60846,0.0,0.0,0,0
60847,0.0,0.0,0,0
60848,0.0,0.0,0,0
60849,0.0,0.0,0,0
