Time,Steps,PROCESS_CPU,PROCESS_IO,Total Reward,Avg Reward,CPU Queue,IO Queue
20:14:18,0,0,0,0,0,8,0
20:14:23,1,1,0,-15,-15.0,427,58
20:14:28,3,3,0,-5,-1.6666666666666667,427,57
